Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	Test Data
NO	Flycatcher_Thor_Diy_RealDevice_HeatPump_2C3H_GUI_install_HappyPath		IOS-Device-IOS-15.5	3e0849a554b005cbecd9d72e7adee86f5d150878	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasper@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	Flycatcher_Thor_Diy_RealDevice_HeatPump_2C3H_GUI_install_HappyPath1		IOS-Device-IOS-15.5	3e0849a554b005cbecd9d72e7adee86f5d150878	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasper@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	Flycatcher_Thor_Diy_RealDevice_HeatPump_2C2H_GUI_install_HappyPath_Retail		Android-Device-Android-12	09281FDD4S00K2	Local	Production	"AcquisitionType=Specific, TestData='USERID=flyprd@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	Flycatcher_Thor_Diy_RealDevice_HeatPump_2C2H_GUI_install_HappyPath_Retail		Android-Device-Android-12	09281FDD4S00K2	Local	Production	"AcquisitionType=Specific, TestData='USERID=flyprd@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	Thor_Diy_RealDevice_Conventional_2C2H_GUI_install_HappyPath		IOS-Device-IOS-16.1	00008110-001578C03A79801E	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasper@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	Thor_Diy_RealDevice_Conventional_2C2H_GUI_install_HappyPath		IOS-Device-IOS-16.1	00008110-001578C03A79801E	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasper@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	Thor_Diy_RealDevice_Conventional_2C2H_GUI_install_HappyPath		IOS-Device-IOS-16.1	00008110-001578C03A79801E	Local	Production	"AcquisitionType=Specific, TestData='USERID=comauto3@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	Thermostat_Wifi_reconfiguration_B_modeChanges		IOS-Device-IOS-16.1	00008110-001578C03A79801E	Local	Production	"AcquisitionType=Specific, TestData='USERID=comauto3@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	HTA_1632_Add_Thor_Thermostat_in_HomeKit_ISU_configured_with_registration_Station_Mode_DataSync_HTA_Registered		IOS-Device-IOS-16.1	00008110-001578C03A79801E	Local	Production	"AcquisitionType=Specific, TestData='USERID=comauto3@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	Thor_Diy_Conventional_2C2H_GUI_install_HappyPath_witout_EIM_With_1IAS_QR		Android-Device-Android-12	09281FDD4S00K2	Local	Production	"AcquisitionType=Specific, TestData='USERID=comauto3@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	Thor_Diy_Conventional_2C2H_GUI_install_HappyPath_witout_EIM_With_1IAS_QR		Android-Device-Android-12	09281FDD4S00K2	Local	Production	"AcquisitionType=Specific, TestData='USERID=comauto3@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	HTA_2742_Thor_Diy_RealDevice_GUIWihtoutFactoryReset		Android-Device-Android-12	09281FDD4S00K2	Local	Production	"AcquisitionType=Specific, TestData='USERID=comauto3@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	Asus_Wifi_Router_Configure		IOS-Device-IOS-16.1	00008110-001578C03A79801E	Local	Production	"AcquisitionType=Specific, TestData='USERID=comauto3@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	Dummy_test_1		IOS-Device-IOS-16.1	00008110-001578C03A79801E	Local	Production	"AcquisitionType=Specific, TestData='USERID=flyprd@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	Dummy_test_1		IOS-Device-IOS-16.1	00008110-001578C03A79801E	Local	Production	"AcquisitionType=Specific, TestData='USERID=cowkurgiri.suresh@resideo.com,PASSWORD=Password1!,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	Asus_RTAC68U_Wifi_Router_standard_bgn_wifi_channel_2_4Ghz_demo3		Android-Device-Android-12	09281FDD4S00K2	Local	Production	"AcquisitionType=Specific, TestData='USERID=comauto3@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	TPLINK_AX1500_Wifi_Router_standard_bgn_wifi_channel_2_4Ghz_demo2		Android-Device-Android-12	09281FDD4S00K2	Local	Production	"AcquisitionType=Specific, TestData='USERID=comauto3@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	NETGEAR_AC1750_Wifi_Router_standard_bgn_wifi_channel_2_4Ghz_demo1		Android-Device-Android-12	09281FDD4S00K2	Local	Production	"AcquisitionType=Specific, TestData='USERID=comauto3@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	T6ProWiFi_ReziApp_JasperNATrade_DIY_Rezi_Ble_Resideo_Ble_3H_2C_HP_Air_HTA_A01		IOS-Device-IOS-17.0.2	00008110-001578C03A79801E	Local	Production	"AcquisitionType=Specific, TestData='USERID=cowkurgiri.suresh@resideo.com,PASSWORD=Password1!,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	First_Alert_T6ProWiFi_NATrade_DIY_cool_only_2_stage		Android-Device-Android-12	09281FDD4S00K2	Local	Production	"AcquisitionType=Specific, TestData='USERID=comauto3@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	T6ProWiFi_NATrade_DIY_AP_cool_only_one_stage_Sample_01		IOS-Device-IOS-17.1.2	00008020-001A7D1136E9002E	Local	Production	"AcquisitionType=Specific, TestData='USERID=comauto3@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	T6R_WiFi_Jasper_EMEA_DIY_AP_Mode		IOS-Device-IOS-17.1.2	00008110-001578C03A79801E	Local	Production	"AcquisitionType=Specific, TestData='USERID=comauto3@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	Gleneagles_DIY_SkipNxtBinding_SkipEIMBinding_skip_ISU_Configure_WIFI		IOS-Device-IOS-18.5	00008120-00021C511403601E	Local	Stage	"AcquisitionType=Specific, TestData='USERID=denalidiy@grr.la,PASSWORD=Password@1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Kitchen,DEVICETOBEINSTALLED=Kitchen,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	Gleneagles_DIY		Android-Device-Android-12	09281FDD4S00K2	Local	Production	"AcquisitionType=Specific, TestData='USERID=flyprd@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
